Name,Depreciada,Port,ServicesList,Test,Production,Authentication,Repository,ConnectionMap
oikos_api_crud,TRUE,8087,tipo_uso;dependencia;espacio_fisico;espacio_fisico_padre;tipo_uso_espacio_fisico;dependencia_padre;tipo_espacio_fisico;asignacion_espacio_fisico_dependencia;dependencia_tipo_dependencia;tipo_dependencia;campo;espacio_fisico_campo;proyecto_curricular,http://pruebasapi.intranetoas.udistrital.edu.co:8087/v2,http://api.intranetoas.udistrital.edu.co:8087/v1/,https://autenticacion.portaloas.udistrital.edu.co/apioas/oikos_crud_api/v2,https://github.com/udistrital/oikos_api,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=1480975774
core_crud,TRUE,8105,unidad_tiempo;tipo_dato_adicional;area_conocimiento;concepto_academico;nucleo_basico_conocimiento ;periodo;tipo_periodo ;grupo_investigacion;linea_investigacion;linea_investigacion_grupo_investigacion,http://pruebasapi2.intranetoas.udistrital.edu.co:8105/v1/,http://api2.intranetoas.udistrital.edu.co:8105/v1/,"https://autenticacion.portaloas.udistrital.edu.co/apioas/core_crud/v1
",https://github.com/udistrital/core_crud,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=1104481674
administrativa_jbpm,TRUE,8282 aws,default,http://busservicios.intranetoas.udistrital.edu.co:8282/wso2eiserver/services/administrativa_pruebas,http://busservicios.intranetoas.udistrital.edu.co:8282/wso2eiserver/services/administrativa_produccion,https://autenticacion.portaloas.udistrital.edu.co/apioas/administrativa_jbpm/v1	,-,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=504575506
sga_mid,FALSE,8119,-,http://pruebasapi.intranetoas.udistrital.edu.co:8119/,http://api.intranetoas.udistrital.edu.co:8119/,https://autenticacion.portaloas.udistrital.edu.co/apioas/sga_mid/v1,https://github.com/udistrital/sga_mid,-
administrativa_mid_api,FALSE,8091,-,http://pruebasapi.intranetoas.udistrital.edu.co:8091/v1/,http://api.intranetoas.udistrital.edu.co:8091/v1,https://autenticacion.portaloas.udistrital.edu.co/apioas/administrativa_mid_api/v1,https://github.com/udistrital/administrativa_mid_api,-
arka_mid,FALSE,8099,-,http://pruebasapi.intranetoas.udistrital.edu.co:8099/,http://api.intranetoas.udistrital.edu.co:8099/,https://autenticacion.portaloas.udistrital.edu.co/apioas/arka_mid/v1,https://github.com/udistrital/arka_mid/,-
cumplidos_mid,FALSE,8513,-,http://pruebasapi2.intranetoas.udistrital.edu.co:8513/,http://api.intranetoas.udistrital.edu.co:8513/,https://autenticacion.portaloas.udistrital.edu.co/apioas/cumplidos_mid/v1/,https://github.com/udistrital/cumplidos_mid,-
planeacion_mid,FALSE,8524,-,http://pruebasapi2.intranetoas.udistrital.edu.co:8524/,http://api2.intranetoas.udistrital.edu.co:8524/,https://autenticacion.portaloas.udistrital.edu.co/apioas/planeacion_mid/v1,https://github.com/udistrital/planeacion_mid,-
resoluciones_docentes_mid,VERDADERO,8521,unidad_tiempo;tipo_dato_adicional;area_conocimiento;services;expedir_resolucion,http://pruebasapi2.intranetoas.udistrital.edu.co:8521/,http://api2.intranetoas.udistrital.edu.co:8521/,https://autenticacion.portaloas.udistrital.edu.co/apioas/resoluciones_docentes_mid/v1,https://github.com/udistrital/resoluciones_docentes_mid,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=765162548
resoluciones_mid_v2,FALSE,8529,-,http://pruebasapi2.intranetoas.udistrital.edu.co:8529/,http://api2.intranetoas.udistrital.edu.co:8529/,https://autenticacion.portaloas.udistrital.edu.co/apioas/resoluciones_docentes_mid/v2,https://github.com/udistrital/resoluciones_mid_v2,-
alternancia_mid,FALSE,8525,-,http://pruebasapi2.intranetoas.udistrital.edu.co:8525,http://api2.intranetoas.udistrital.edu.co:8525,https://autenticacion.portaloas.udistrital.edu.co/apioas/alternancia_mid/v1,https://github.com/udistrital/alternancia_mid,-
terceros_mid,FALSE,8123,-,http://pruebasapi2.intranetoas.udistrital.edu.co:8123/v1/,http://api2.intranetoas.udistrital.edu.co:8123/v1/,https://autenticacion.portaloas.udistrital.edu.co/apioas/terceros_mid/v1,https://github.com/udistrital/terceros_mid,-
evaluacion_mid,FALSE,8507,-,http://pruebasapi2.intranetoas.udistrital.edu.co:8507,http://api2.intranetoas.udistrital.edu.co:8507,https://autenticacion.portaloas.udistrital.edu.co/apioas/evaluacion_mid/v1/,https://github.com/udistrital/evaluacion_mid,-
documentos_crud,VERDADERO,8094,documento;tipo_documento;subtipo_documento;dominio_tipo_documento ,http://pruebasapi.intranetoas.udistrital.edu.co:8094/,http://api.intranetoas.udistrital.edu.co:8094/,https://autenticacion.portaloas.udistrital.edu.co/apioas/documento_crud/v2,https://github.com/udistrital/documentos_crud,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=1027677424
sesiones_crud,VERDADERO,8107,tipo_sesion;sesion;participante_sesion;sesion_patron_recurrencia;relacion_sesiones;tipo_recurrencia;rol_encargado_evento;tipo_publico;tipo_evento;tr_evento;calendario_evento;encargado_evento;calendario;calendario_evento_tipo_publico,http://pruebasapi.intranetoas.udistrital.edu.co:8107/,http://api.intranetoas.udistrital.edu.co:8107/,"https://autenticacion.portaloas.udistrital.edu.co/apioas/sesiones_crud/v1
https://autenticacion.portaloas.udistrital.edu.co/apioas/sesiones_crud/v2",https://github.com/udistrital/eventos_crud,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=1581357893
titan_api_crud,VERDADERO,8081,contrato_preliquidacion;concepto_nomina;detalle_preliquidacion;preliquidacion;contrato;periodo,http://pruebasapi.intranetoas.udistrital.edu.co:8081/v1	,http://api.intranetoas.udistrital.edu.co:8081/v1,https://autenticacion.portaloas.udistrital.edu.co/apioas/titan_api_crud/v2,https://github.com/udistrital/titan_api_crud/,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=558987213
titan_api_mid,VERDADERO,8082,preliquidacion;gestion_ops;contrato_preliquidacion;contratos;desagregado_hcs;detalle_preliquidacion;notificaciones;novedad;default,http://pruebasapi.intranetoas.udistrital.edu.co:8082/v1,http://api.intranetoas.udistrital.edu.co:8082/v1,https://autenticacion.portaloas.udistrital.edu.co/apioas/titan_api_mid/v2,https://github.com/udistrital/titan_api_mid/,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=2009040759
autentiticacion_mid,FALSO,8510,-,http://pruebasapi.intranetoas.udistrital.edu.co:8510/v1,http://api.intranetoas.udistrital.edu.co:8510/v1,https://autenticacion.portaloas.udistrital.edu.co/apioas/autenticacion_mid/v1,https://github.com/udistrital/autenticacion_mid,-
novedades_mid,FALSO,8502,-,http://pruebasapi.intranetoas.udistrital.edu.co:8502/,http://api.intranetoas.udistrital.edu.co:8502/,https://autenticacion.portaloas.udistrital.edu.co/apioas/novedades_mid/v1,https://github.com/udistrital/novedades_mid,-
seguridad_social_mid,FALSO,8093,-,http://pruebasapi.intranetoas.udistrital.edu.co:8093/,http://api.intranetoas.udistrital.edu.co:8093/,https://autenticacion.portaloas.udistrital.edu.co/apioas/ss_mid_api/v1,https://github.com/udistrital/seguridad_social_mid,-
gestor_documental_mid,FALSO,8199,-,http://pruebasapi2.intranetoas.udistrital.edu.co:8199/v1,http://api2.intranetoas.udistrital.edu.co:8199/v1,https://autenticacion.portaloas.udistrital.edu.co/apioas/gestor_documental_mid/v1,https://github.com/udistrital/gestor_documental_mid,-